feature,importance
v_3,25.46702367264629
v_12,18.092635099547024
v_0,17.66808417260228
power,5.843721118839774
v_8,3.9125813414845596
kilometer,3.507068037593501
v_9,3.158149848783681
v_10,2.9532840115901635
v_6,2.5131201697949215
age_segment,2.0916914226463588
v_1,1.8437282991150492
v_14,1.666629839560856
vehicle_age_days,1.0189258336012585
car_age_from_now,0.8661977353024931
brand_price_std,0.8219384383821801
v_2,0.8033311464001891
v_11,0.7473238512590045
v_13,0.7423910298153181
reg_year,0.6952187598983315
brand_price_count,0.6753772569041371
v_4,0.6722311091304798
vehicle_age_years,0.6612297708656653
v_5,0.5755216267932731
model,0.570346257064835
notRepairedDamage,0.37443864088405565
model_freq,0.32000197058285346
km_per_year,0.301663204788596
brand_price_median,0.2841270517769175
brand_freq,0.23514362350849347
bodyType,0.15693181772442497
fuelType,0.11520510652678934
brand_price_ratio,0.08849891758250601
brand_price_mean,0.0871031834211589
model_num,0.07726080365291246
notRepairedDamage_freq,0.06239744102960108
reg_month,0.05815017611420715
v_7,0.056113363955352935
bodyType_freq,0.05242097068573343
gearbox,0.035163775264797276
regionCode,0.03255155930825269
brand,0.0323282675352532
fuelType_freq,0.025465578780835253
creat_day,0.013484317408713127
is_new_car,0.006626682391637562
gearbox_freq,0.006038568719614652
brand_model,0.004472962494313355
creat_month,0.00429869588694882
reg_day,0.0022390655878046384
creat_season,0.00012440476656315355
reg_season,0.0
creat_year,0.0
kilometer_missing,0.0
power_missing,0.0
v_2_missing,0.0
v_0_missing,0.0
v_14_missing,0.0
v_13_missing,0.0
v_12_missing,0.0
v_11_missing,0.0
v_9_missing,0.0
v_10_missing,0.0
v_8_missing,0.0
v_7_missing,0.0
v_3_missing,0.0
v_6_missing,0.0
v_5_missing,0.0
v_4_missing,0.0
v_1_missing,0.0
v_0_outlier,0.0
power_outlier,0.0
kilometer_outlier,0.0
